cascades_anti3,lambdas,J_tot,S_tot,L_tot,ModEx
5806,5614,0.5,0.5,0,grd
6079,5918,0.5,0.5,1,lam
6085,5924,1.5,0.5,1,lam
6249,6114,0.5,0.5,1,rho
6271,6137,0.5,1.5,1,rho
6255,6120,1.5,0.5,1,rho
6277,6143,1.5,1.5,1,rho
6287,6153,2.5,1.5,1,rho
6354,6225,1.5,0.5,2,lam
6364,6235,2.5,0.5,2,lam
6360,6231,0.5,0.5,0,rpl
6699,6623,0.5,0.5,0,rpr
6524,6421,1.5,0.5,2,mix
6534,6431,2.5,0.5,2,mix
6540,6438,0.5,1.5,2,mix
6546,6444,1.5,1.5,2,mix
6556,6454,2.5,1.5,2,mix
6570,6468,3.5,1.5,2,mix
6526,6423,0.5,0.5,1,mix
6532,6429,1.5,0.5,1,mix
6548,6446,0.5,1.5,1,mix
6554,6452,1.5,1.5,1,mix
6564,6462,2.5,1.5,1,mix
6558,6456,1.5,1.5,0,mix
6530,6427,0.5,0.5,0,mix
6693,6617,1.5,0.5,2,rho
6703,6627,2.5,0.5,2,rho